bookID,average_rating,ratings_count
1,4.57,2095690
2,4.49,2153167
4,4.42,6333
5,4.56,2339585
8,4.78,41428
9,3.74,19
10,4.73,28242
12,4.38,3628
13,4.38,249558
14,4.22,4930
16,4.22,1266
18,4.38,2877
21,4.21,248558
22,3.44,7270
23,3.87,2088
24,4.07,72451
25,3.9,49240
26,3.83,45712
27,3.86,48701
28,3.91,80609
29,3.93,28489
30,4.59,101233
31,4.5,1710
34,4.36,2128944
35,4.5,1618
36,4.53,19822
37,4.5,359
45,3.84,1430
50,3.72,270244
51,4,36
53,3.88,2067
54,4.33,6
55,3.45,99
57,3.76,167
58,3.6,978
59,4.06,4454
61,4.17,1176
63,3.55,301
66,3.98,345
67,3.83,29686
68,3.83,55
69,3.83,22
71,3.83,1456
72,4.13,52
74,4.42,562
75,3.95,1630
76,4.17,268
77,4.24,3498
78,4.34,3115
79,4.22,5704
80,3.92,698
81,4.23,542
83,4.23,1341
85,3.75,1423
86,3.84,2766
89,3.94,31
90,3.77,62
91,4.46,860
92,3.68,77
93,3.99,153317
94,3.25,55
96,4.46,34
98,3.89,11797
99,3.82,34
100,3.78,78
103,3.84,2785
105,3.91,38778
106,3.88,97494
107,4.01,784
109,3.86,272
110,3.88,4789
117,3.86,45388
119,4.59,26153
122,4.35,69167
123,4.35,45
129,4.28,16
130,3.34,174
131,3.67,10
132,3.48,76
133,3.5,111
135,3.62,24
137,3.55,55
138,4.27,9
139,3.39,22
140,3.89,17
141,3.84,166
142,4.12,50
144,4.08,13
147,3.48,64
151,4.05,16643
152,4.05,109420
153,4.05,2904
154,3.85,16
155,4.05,9564
156,4.05,474
157,4.05,303
159,2.99,411
160,4.19,1204
162,3.71,3429
163,3.95,2163
164,3.89,613
165,3.82,308
166,4.2,10
168,3.65,16
171,3.4,10
177,4,17
180,4.01,1035
181,4,36
182,3.6,15
201,4,6
204,4.12,376
205,4.11,3086
207,3.94,352
208,3.6,9852
213,3.9,821
214,4.05,731
216,3.94,2897
230,3.89,98
231,3.42,20888
237,3.91,66
244,4.02,81
245,4.22,981
247,3.69,3381
249,3.68,53206
250,3.78,14872
251,4.1,3261
252,3.98,7805
253,3.83,2699
264,3.78,61640
269,3.78,392
277,3.75,778
278,3.85,963
280,3.66,2057
285,3.68,203
288,4.21,35
289,4.19,328
290,3.98,1308
291,3.92,6432
292,4.08,3015
295,3.83,318753
296,3.83,420
297,3.83,5967
298,3.83,104
299,3.83,56
302,4.05,91
313,4.61,88
324,4.07,63
330,4.04,2815
332,3.6,95
333,3.44,217
337,4.02,4136
348,4.01,17232
350,3.92,251872
354,3.87,10293
355,3.78,15970
356,3.97,6898
357,4.06,67803
359,3.93,22091
362,4.14,2623
367,3.6,885
377,3.93,5
382,4.13,100
385,3.57,9358
386,3.78,9318
394,4.14,120
397,4.53,5239
399,3.92,1505
400,3.99,11857
403,3.43,393
404,3.43,1356
406,3.22,460
407,3.48,2492
408,3.64,3100
409,4.13,5296
410,3.96,1415
411,3.69,2161
412,4.01,762
413,4.07,8086
414,3.69,702
415,4.01,29764
416,3.5,334
418,3.8,2473
420,3.89,2656
421,4.17,11889
422,3.8,2962
423,3.86,2842
424,4.21,26934
425,3.81,2070
426,4.5,1564
428,3.87,23656
431,3.89,43200
432,3.79,12410
434,3.64,3672
435,3.89,2998
444,3.89,74
446,3.84,17977
447,3.94,16099
453,3.9,361
454,3.23,6688
456,3.96,11744
463,3.77,2390
466,4.38,21
475,3.93,52522
476,3.4,213
477,4.15,719
478,3.8,4762
481,3.91,62
484,4.39,278
493,4.01,2862
494,3.78,2829
497,3.93,105
498,4.13,102
511,3.77,478
515,4.03,1577
523,3.95,73
524,3.68,408
531,4.11,1693
534,4.14,1
537,3.81,6485
538,3.81,367
539,3.8,1371
565,3.98,793
570,3.8,549
576,3.85,288
597,3.81,26381
599,3.73,62089
619,3.51,474
629,3.77,166046
639,4.08,1773
642,3.72,286
643,3.85,40
650,3.93,27
655,4.11,7300
656,4.11,211671
658,4.13,2403
662,3.69,322483
663,3.68,2750
664,3.87,1886
665,3.51,11462
667,3.63,110952
668,3.91,23199
669,3.88,3501
670,3.96,18
672,3.95,150
675,3.88,646
676,4.23,12180
678,3.62,51
681,3.09,1601
685,3.63,8854
698,3.55,17155
700,3.77,44
702,3.59,234
703,3.77,33321
707,3.59,8703
759,4.19,6375
762,3.97,7888
763,4.07,130
764,3.98,4508
765,3.99,397
766,3.6,5856
771,4.07,32569
775,4.29,37
787,3.75,1
793,3.83,11
797,4.03,0
799,0,0
815,3.88,6870
816,4.25,83184
821,4.1,5
822,4.26,19320
823,3.93,30872
824,3.61,2465
826,3.25,4657
827,4.19,71042
828,3.68,4731
829,4.2,1567
830,4.03,188100
834,4.16,1474
835,4.24,1929
840,4.17,18602
841,3.95,3702
842,4.17,265
848,4.27,51
864,3.86,920
865,3.86,1631221
866,4.57,9013
868,4.56,16666
869,4.57,11451
870,4.5,111091
871,4.55,10752
872,3.86,251
873,4.52,14923
880,3.82,26922
888,3.6,1156
890,3.87,1755253
900,3.74,20529
902,4.02,142121
903,3.83,30231
929,4.11,280309
930,4.11,1301083
931,4.11,2122
932,4.08,145
933,4.11,4189
935,3.93,1556
941,3.44,9
944,3.41,59
955,4.7,22
960,3.89,2418736
965,3.89,196
966,3.89,65
968,3.84,1679706
969,3.84,1120
972,3.84,377
975,3.71,4919
977,3.71,3353
980,3.71,61
987,4.04,456
998,4.03,61760
1005,4.18,88897
1007,4.18,48
1014,3.58,173
1022,3.95,253
1032,3.66,12748
1052,4.26,76451
1053,4.26,86
1059,4.21,9498
1067,4.07,166916
1068,4.22,1299
1073,3.62,31
1078,3.98,200744
1090,3.93,26
1097,3.74,190039
1099,3.74,811
1103,4.07,297533
1110,3.78,72361
1111,4.51,11208
1117,3.75,28
1120,3.74,3877
1121,3.65,401
1123,3.95,814
1130,4.13,228
1138,4.07,39
1164,3.15,26
1167,3.99,11178
1169,3.67,3379
1171,4.15,22843
1177,3.31,13
1188,4.08,8
1191,3.96,14103
1192,3.95,40125
1193,4.09,8822
1196,4.09,3697
1197,4.06,1426
1198,3.92,275
1202,3.97,628745
1204,3.97,193
1206,3.97,98
1218,4.27,189
1226,3.91,4318
1230,3.91,177
1234,3.49,102
1241,3.65,206011
1242,3.56,43
1243,3.41,201
1246,4.05,873
1252,4.14,5354
1255,3.68,55
1265,3.72,1820
1274,3.55,132062
1276,3.62,18
1281,3.55,43
1290,3.76,82
1295,4.05,184418
1296,4.05,495
1301,4.26,85094
1302,0,0
1303,4.18,60946
1305,4.42,21934
1307,4.07,16312
1312,3.58,146
1315,3.96,3002
1317,3.9,3422
1318,3.76,2138
1319,4,53653
1320,3.78,14
1322,3.91,85
1326,4.1,226
1327,3.92,29
1328,3.92,236
1334,4.47,14
1337,4.5,26
1338,4.06,154
1342,4.35,18
1351,3.85,28
1354,3.95,8186
1362,3.99,34727
1363,3.99,227
1364,3.99,2
1365,3.99,271
1366,3.99,143
1367,3.99,40
1368,3.99,132
1369,3.99,36
1371,3.86,288792
1373,3.86,1058
1374,3.86,692
1375,4.04,54939
1376,3.86,1919
1377,3.86,158
1378,3.86,212
1381,3.76,760871
1382,3.76,1713
1383,3.76,1131
1384,3.76,2543
1387,3.76,262
1391,4.35,69
1402,4.22,414
1403,4.13,67
1405,3.8,259
1408,3.94,55
1417,4.5,578
1419,4.5,62
1420,4.02,609271
1423,4.44,8159
1424,3.64,888
1425,3.31,1204
1426,3.7,22662
1427,3.57,58917
1428,3.57,70760
1429,3.62,1415
1431,3.7,132064
1433,4.02,1658
1437,3.69,65
1438,4.02,102
1439,4.29,489
1440,4.32,208
1441,3.72,610
1444,4.35,38
1445,3.9,154
1449,3.9,24
1459,4.29,35
1461,4.5,2
1462,4.03,4483
1463,4.21,3334
1465,4.21,560
1466,4.4,679
1467,4.17,1464
1468,4,541
1470,4.31,790
1473,4.03,9197
1474,4.23,61
1475,3.87,201
1476,4.14,164
1479,3.88,154
1480,3.78,9
1486,3.63,34
1488,3.86,116
1489,4.1,158
1491,4.26,27
1494,3.83,1950
1495,4.47,30
1499,3.87,367
1504,4.04,23
1506,4.2,5
1509,4.03,29
1510,4.07,25
1511,4.03,12
1515,4.43,46
1516,4.02,712
1517,4.1,389
1518,4.02,77
1519,4.02,28726
1521,4.02,303
1523,4.1,4303
1525,4.02,215
1526,4.02,12
1527,4.1,74
1529,4.03,31
1530,4.02,63
1531,4.1,12
1532,4.02,89
1533,4.1,1
1536,4.14,5032
1537,3.97,553
1538,4.27,2883
1540,3.97,45589
1542,3.97,2979
1546,3.97,109
1547,3.97,52
1548,4.14,135
1549,3.94,13358
1554,3.7,141555
1555,3.97,8
1558,3.7,218
1559,3.7,740
1560,4.06,6086
1561,3.94,96
1562,4.21,1998
1563,3.83,4
1566,3.77,1
1567,3.95,3833
1568,3.42,23
1571,3.75,13
1572,4.07,69
1576,3.94,391
1577,4.03,14
1579,4.21,58
1584,2.8,5
1585,4.07,14
1586,3.85,19
1590,3.6,262
1591,3.85,30604
1592,3.69,42
1595,4.33,5
1618,3.88,1054308
1620,3.64,4067
1625,3.98,138101
1627,3.94,24985
1633,3.99,105507
1634,3.46,75
1642,4.17,240
1643,4.14,331
1645,3.76,69
1646,3.96,1279
1654,3.76,1098
1658,2.83,0
1664,3.5,0
1667,4.05,453
1681,3.92,142
1684,3.92,104
1685,4.04,271
1686,4.27,1643
1693,4.03,2335
1698,3.92,84
1702,3.55,259
1703,3.71,236
1707,3.94,29
1709,4.07,2488
1710,4.07,11
1713,4.05,710
1715,4.05,48223
1718,4.05,30
1720,4.27,229
1721,4.32,32
1722,4.36,78
1725,4.02,98
1728,4.12,432
1729,4.52,61
1730,4.42,813
1731,4.08,12
1744,3.71,7
1750,4.62,12
1752,3.64,36
1761,3.64,264
1771,4.07,14
1796,3.86,30
1800,3.79,122
1801,4.12,32
1804,3.4,10
1805,3.73,10
1814,3.42,1416
1815,4.06,2799
1823,3.95,11990
1824,3.61,10679
1839,4.03,4356
1843,3.87,633
1845,3.98,800349
1846,3.92,55106
1848,4.26,73572
1849,4.01,20909
1850,3.78,2456
1852,3.86,274649
1853,4.17,4541
1856,2.67,9
1869,3.63,168362